"cluster_id","youtube_video_id","exercise_id","exercise_name","media_review_status","decision","reviewer_name","reviewed_at","evidence"
"yt-001","_R0WfsTJI98","2f419825-0522-4400-9753-1c19673f90f9","Salto c/ contramovimento ( plio )","needs_review","","","",""
"yt-001","_R0WfsTJI98","db6b26b0-30b7-4143-8155-2212d2f45280","Salto Vertical Continuo Halteres ( plio )","needs_review","","","",""
"yt-002","1satDE63Bwc","a5d763eb-d779-49bc-acd4-665438ab4e01","Ponte de glúteo","needs_review","","","",""
"yt-002","1satDE63Bwc","e1a9fb5d-eb21-4a17-9694-75bcf9fc8a12","Elevação de Quadril Unilateral solo","needs_review","","","",""
"yt-003","1X2aa0gs0A0","8c666a93-0716-493d-a299-2b2afc9f0f51","Educativo Estabilidade ( rigidez de tornozelo )","needs_review","","","",""
"yt-003","1X2aa0gs0A0","a49a288e-8fec-4318-a1ec-c86d25d99621","Rigidez de Tornozelo elevação ( estabilidade)","needs_review","","","",""
"yt-004","34et7-v21vw","83aeb5e9-935b-4419-9e11-2192f9ed1794","Encolhimento Smith","needs_review","","","",""
"yt-004","34et7-v21vw","c4343ec8-b13c-4ecb-9d18-2aba9b6f74dc","Encolhimento Inclinado Smith","needs_review","","","",""
"yt-005","3vl3D0tk1tQ","5dd42590-3103-4a4d-8716-bcbba23bd66c","Resposta a carga com controle de eversão","needs_review","","","",""
"yt-005","3vl3D0tk1tQ","bcf67999-ce05-4e6a-aebe-750d618ead5a","Controle motor - mobilidade e estabilidade","needs_review","","","",""
"yt-006","6fQwWnHMAoI","75cf318a-071a-47fe-8ba9-2ff21c68dcf2","Extensão de Quadril em Diagonal Miniband","needs_review","","","",""
"yt-006","6fQwWnHMAoI","eef9a08b-8ea3-45d9-ae15-dace11048bf9","Propulsão Diagonal com mini band","needs_review","","","",""
"yt-007","7aPyhrhTJ8k","3f5cdf00-8599-4997-a1b7-56056b335b67","Salto horizontal c/ contramovimento ( plio )","needs_review","","","",""
"yt-007","7aPyhrhTJ8k","62bea1e0-2f07-45a6-9243-85b528adba73","Saltos Horizontais Continuos","needs_review","","","",""
"yt-008","7EtpXXdxPMc","08df4e08-7871-4212-aaa8-b9dc2807e2dd","Pallof press na polia","needs_review","","","",""
"yt-008","7EtpXXdxPMc","6073ee7c-1c0a-43b5-a70f-c13ddd0f1eca","Pallof press com passada","needs_review","","","",""
"yt-008","7EtpXXdxPMc","aa122a11-23c8-4ce3-819e-479676a85f86","Pallof press isométrico","needs_review","","","",""
"yt-008","7EtpXXdxPMc","acd1e2e2-39a0-4f00-bad8-c6cb8e674264","Abdominal Anti Rotação Polia","needs_review","","","",""
"yt-009","89J3D_XDa3A","5a700771-7bf1-4c3e-8397-072a0aa98c75","Elevação Lateral Polia","needs_review","","","",""
"yt-009","89J3D_XDa3A","7b06658f-12bb-4cd4-b749-ac2c38c5dfc9","Elevação Lateral Máquina","needs_review","","","",""
"yt-009","89J3D_XDa3A","990793df-0bdf-4afa-8b70-65117c9a5a2a","Elevação Lateral Cruzada Polia","needs_review","","","",""
"yt-010","8hmYxGeYb8I","9b2b10ed-6a6c-4e43-b17d-d603b7627e2b","Remada Curvada Halteres Pronada","needs_review","","","",""
"yt-010","8hmYxGeYb8I","ec464c13-8653-4ec4-83b6-0f4ac5855c4a","Remada Curvada Halteres Neutra","needs_review","","","",""
"yt-011","9EYiA8gbnRA","2b6e19be-6b4d-44d6-af4b-04f7a09bef60","Abdominal Infra Solo","needs_review","","","",""
"yt-011","9EYiA8gbnRA","93609dd6-479d-42f1-b927-72b3511f161b","Abdominal Infra Máquina","needs_review","","","",""
"yt-012","a8Pi1R6UFls","196b92b9-5c58-4409-b17f-2254d72b33ab","Flexão de Quadril em ponte ( core )","needs_review","","","",""
"yt-012","a8Pi1R6UFls","9c9491ac-77e1-4d82-801c-df380fb098e3","Lift com anilha em Base Afundo Isométrico","needs_review","","","",""
"yt-013","BH5toeuGdfQ","251d1f5f-6983-4a47-9935-f7fe71874bb5","McGill curl-up","needs_review","","","",""
"yt-013","BH5toeuGdfQ","9996cc9b-38ef-4cba-8670-cea497502b0b","Fisio Lombar: McGill curl-up","needs_review","","","",""
"yt-014","DFXtzdXN_iY","e1000001-0000-0000-0000-000000000015","Desenvolvimento com Halteres","needs_review","","","",""
"yt-014","DFXtzdXN_iY","e9356e80-6f25-4ac7-bce7-afc652825220","Desenvolvimento Halteres em Pé","needs_review","","","",""
