"exercise_id","exercise_name","priority","target_count","current_targets","targets_review_status","safety_review_status","media_review_status","youtube_video_id","queue_reason","reviewer_name","reviewed_at","decision_reason","evidence","ready_for_upsert"
"9838c0b0-1c55-4b7a-a4fe-241a1ad92422","Pulldown Aberto","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","needs_review","WesVSdTPAAU","safety_metadata_gap | duplicate_video_cluster","","","","","false"
"2b544004-7438-4adf-8d5f-de505cb8d404","Pulldown Unilateral","P1","2","Dorsal:primary:100 | Bíceps:secondary:30","not_in_scope","needs_review","not_in_scope","AJVVogDMaRw","safety_metadata_gap","","","","","false"
"e1000001-0000-0000-0000-000000000007","Puxada Frontal","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","ftcql3-AMRs","safety_metadata_gap","","","","","false"
"3b59a032-f393-479c-b31f-e9059390c3da","Puxada Neutra Polia","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","B3aDSlCUEAM","safety_metadata_gap","","","","","false"
"d22c572a-4ce1-4e5d-b0a7-471be47aa232","Puxada Neutra Unilateral","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","TrJKmc1SSyg","safety_metadata_gap","","","","","false"
"35f2868b-140e-489b-aaa1-44659a4b4a04","Puxada Neutra Unilateral com Giro","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","tHIwG-6IoZ8","safety_metadata_gap","","","","","false"
"592cf519-f2f5-4f82-9d10-8c2005851cbb","Puxada Pronada Máquina","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","yp14vDyCUJA","safety_metadata_gap","","","","","false"
"f0d967d8-ff18-4881-8c28-aca104bf5ac6","Puxada Pronada Polia","P1","2","Dorsal:primary:100 | Bíceps:secondary:40","not_in_scope","needs_review","not_in_scope","SapM-j_3M20","safety_metadata_gap","","","","","false"
"b48f3fd6-4b2e-46c5-ac67-cd3acb578d04","Puxada Romana","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","S7-LkuIPFZo","safety_metadata_gap","","","","","false"
"c3ffdec6-f7bc-4ddb-9161-22600b178653","Puxada Supinada","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","uA3IrbUAVKA","safety_metadata_gap","","","","","false"
"21a15e45-12b2-49f8-bf06-daa21b0cb33f","Puxada Supinada Máquina","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","b5RkrNs_EGM","safety_metadata_gap","","","","","false"
"6bdb1793-3d29-4659-9dfe-00097a8c85ae","Puxada Supinada Unilateral Máquina","P1","3","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5","not_in_scope","needs_review","not_in_scope","zkrMaAnZf_M","safety_metadata_gap","","","","","false"
"3da3626b-01f8-4fcd-bc73-281255db1d62","RDL B-Stance Barra","P1","1","Posterior de Coxa:primary:1","needs_review","needs_review","needs_review","GK7aZGipTj0","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"506123c3-3d0d-4d4e-91a4-2e2363dd9280","RDL Barra","P1","1","Posterior de Coxa:primary:1","needs_review","needs_review","not_in_scope","efc6-uXOWPw","single_target | safety_metadata_gap","","","","","false"
"1e9ca66e-a79c-4885-87f0-049742a63266","RDL Halteres","P1","1","Posterior de Coxa:primary:1","needs_review","needs_review","not_in_scope","w3oLAqylMDo","single_target | safety_metadata_gap","","","","","false"
"8327a63b-80c4-421a-97d4-7de1a4b667c5","RDL Polia","P1","1","Posterior de Coxa:primary:1","needs_review","needs_review","not_in_scope","NkufuMNW-7E","single_target | safety_metadata_gap","","","","","false"
"5f51a4d4-44ee-45e1-89ac-ef44712b0c1e","RDL Unilateral","P1","1","Posterior de Coxa:primary:1","needs_review","needs_review","needs_review","M59l7eFZ0S4","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"ad2c7265-abc6-44f1-9fb6-d1dd2db714bf","RDL Unilateral com Miniband","P1","1","Posterior de Coxa:primary:1","needs_review","needs_review","needs_review","M59l7eFZ0S4","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
"658aa167-54ef-4662-bc7f-7883b7175af8","Recuo com Barra Reta ( afundo )","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","needs_review","wo84GQdFvg4","single_target | duplicate_video_cluster","","","","","false"
"83a07881-8a15-452c-80ff-6a622ca72723","Recuo com Halteres ( afundo )","P1","1","Quadríceps:primary:100","needs_review","not_in_scope","needs_review","nUlG__NTuxQ","single_target | duplicate_video_cluster","","","","","false"
"11cc5dbc-403b-4ccb-9c06-cc93d225c09b","Remada aberta Smith/Barra","P1","1","Dorsal:primary:100","needs_review","needs_review","not_in_scope","3qj46qsOgfI","single_target | safety_metadata_gap","","","","","false"
"55c3a5c2-7d07-4f7b-9b3c-6343a526a376","Remada australiana (inverted row)","P1","1","Dorsal:primary:100","needs_review","needs_review","not_in_scope","oPEDi6_ReC0","single_target | safety_metadata_gap","","","","","false"
"0db0d50d-5d72-4ade-97f2-3ec1c64218d8","Remada Baixa Neutra","P1","2","Dorsal:primary:100 | Bíceps:secondary:30","not_in_scope","needs_review","not_in_scope","dUy0chKG-yo","safety_metadata_gap","","","","","false"
"f138a64b-e0d8-4945-8dd3-b64dda059da3","Remada Baixa Neutra Unilateral","P1","4","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5 | Trapézio:secondary:0.5","not_in_scope","needs_review","not_in_scope","kbDJnMRyLGQ","safety_metadata_gap","","","","","false"
"ac085604-d230-44fa-bb9c-393696a3d3e3","Remada Baixa Pronada","P1","4","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5 | Trapézio:secondary:0.5","not_in_scope","needs_review","not_in_scope","8_aF2guvykU","safety_metadata_gap","","","","","false"
"663ca485-1e3a-4501-9e3a-dc2a1da4fa98","Remada Baixa Romana","P1","4","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5 | Trapézio:secondary:0.5","not_in_scope","needs_review","not_in_scope","42tPjfyCHfk","safety_metadata_gap","","","","","false"
"ba97e3d0-b019-403b-b66c-f314159af214","Remada Baixa Supinada","P1","4","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5 | Trapézio:secondary:0.5","not_in_scope","needs_review","not_in_scope","9JY2jPQbPmI","safety_metadata_gap","","","","","false"
"0c6d0470-cc1d-4388-aec3-c86ebf4ab0b9","Remada Baixa Unilateral com Rotação","P1","4","Dorsal:primary:1 | Deltoide Posterior:secondary:0.5 | Bíceps:secondary:0.5 | Trapézio:secondary:0.5","not_in_scope","needs_review","not_in_scope","PIVzsKEbdOo","safety_metadata_gap","","","","","false"
"ed6127ab-bec4-46e3-86ff-749e9391d515","Remada cavalinho","P1","1","Dorsal:primary:100","needs_review","needs_review","needs_review","pNcsDruTiS4","single_target | safety_metadata_gap | duplicate_video_cluster","","","","","false"
