codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,exercise_id
149,149-extensao-de-quadril-cruzada-polia.mp4,Extensão de Quadril Cruzada Polia,glúteo,Cabo/Polia,normal,5f47cbe1-d1d6-4718-b2ab-938178db7758
150,150-face-pull-polia-alta.mp4,Face Pull Polia Alta,ombro,Cabo/Polia,normal,c36dcbec-494a-4240-bbb3-c8098ae7902e
151,151-fisio-ombro-face-pull.mp4,Fisio Ombro: face pull,Fisioterapia,Cabo/Polia,normal,b460198a-a5ca-4482-8df1-6c26220c8566
152,152-flexao-de-punho-90-graus-polia-baixa.mp4,Flexão de Punho 90 graus Polia Baixa,antebraço,Cabo/Polia,normal,a9307b76-a4e2-4305-b683-d86e59ae80b6
153,153-flexao-de-punho-com-a-polia-atras.mp4,Flexão de Punho com a Polia Atrás,antebraço,Cabo/Polia,normal,dcc7c1f8-9e2e-4b4d-a91e-fbc96fd042fe
154,154-flexao-de-punho-polia-baixa.mp4,Flexão de Punho Polia Baixa,antebraço,Cabo/Polia,normal,9c2ad88a-1f2a-4c58-9455-a667d5331d09
155,155-flexao-de-punho-unilateral-polia-alta.mp4,Flexão de Punho Unilateral Polia Alta,antebraço,Cabo/Polia,normal,7512d746-8861-45b3-9242-800df83c8810
156,156-gluteo-coice-polia-banco.mp4,Glúteo Coice Polia Banco,glúteo,Cabo/Polia,normal,258bfac0-5456-462d-8530-a8204af6b8f8
157,157-gluteo-polia-alta.mp4,Glúteo Polia Alta,glúteo,Cabo/Polia,normal,94f78ab8-d580-4ce0-8392-d8ac0fc141b0
158,158-gluteo-semiflexionado-polia.mp4,Glúteo Semiflexionado Polia,glúteo,Cabo/Polia,normal,cf15749a-32da-4e7f-95c7-67a458950a6e
159,159-gluteo-semiflexionado-polia-banco.mp4,Glúteo Semiflexionado Polia Banco,glúteo,Cabo/Polia,normal,3b123e3c-8ba7-4b27-9931-ac94f47bfc29
160,160-lift-meio-ajoelhado.mp4,Lift meio-ajoelhado,Controle Motor,Cabo/Polia,normal,71213b5c-f659-49a6-a29b-7895696a2b2b
161,161-pallof-press-com-passada.mp4,Pallof press com passada,Core,Cabo/Polia,normal,6073ee7c-1c0a-43b5-a70f-c13ddd0f1eca
162,162-pallof-press-isometrico.mp4,Pallof press isométrico,Core,Cabo/Polia,normal,aa122a11-23c8-4ce3-819e-479676a85f86
163,163-pallof-press-na-polia.mp4,Pallof press na polia,Core,Cabo/Polia,normal,08df4e08-7871-4212-aaa8-b9dc2807e2dd
164,164-press-anti-rotacao-meio-ajoelhado.mp4,Press anti-rotação meio-ajoelhado,Core,Cabo/Polia,normal,3e1d8c8d-fd9f-4546-8581-1a1936833624
165,165-rdl-polia.mp4,RDL Polia,posterior de coxa,Cabo/Polia,normal,8327a63b-80c4-421a-97d4-7de1a4b667c5
166,166-remada-alta-polia.mp4,Remada Alta Polia,ombro,Cabo/Polia,normal,6c2e58df-666f-420a-81e2-192929555fdc
167,167-remada-polia-alta.mp4,Remada Polia Alta,costas,Cabo/Polia,normal,e2e9c143-7d6e-4b55-9bd0-69b7639fefaa
168,168-remada-polia-alta-unilateral.mp4,Remada Polia Alta Unilateral,costas,Cabo/Polia,normal,f8c61424-6e4d-4fc7-bd1a-3dd381ee43d3
169,169-remada-polia-media-barra.mp4,Remada Polia Média Barra,costas,Cabo/Polia,normal,f7aa9696-c084-47f4-bb2a-4f6878cbd2a4
170,170-remada-polia-media-corda.mp4,Remada Polia Média Corda,costas,Cabo/Polia,normal,0a011510-cb86-42bd-b96b-692c38e3ee4c
171,171-remada-polia-media-unilateral.mp4,Remada Polia Média Unilateral,costas,Cabo/Polia,normal,155881fb-85f7-4130-89a2-73b73143710d
172,172-remada-polia-media-unilateral-com-giro.mp4,Remada Polia Média Unilateral com Giro,costas,Cabo/Polia,normal,da6dab0e-20ef-4b90-aef5-50dd62153f11
173,173-rosca-direta-polia-barra.mp4,Rosca Direta Polia Barra,bíceps,Cabo/Polia,normal,d154f0c1-5df4-4fd4-a487-3cfcaee43988
174,174-rosca-direta-polia-corda.mp4,Rosca Direta Polia Corda,bíceps,Cabo/Polia,normal,22a29009-6f64-406a-966f-253155bd5410
175,175-rosca-em-hiperextensao-de-ombro-polia.mp4,Rosca em Hiperextensão de Ombro Polia,bíceps,Cabo/Polia,normal,aefecdad-cc83-4a92-94b7-6408a556b883
176,176-rosca-inversa-polia-barra.mp4,Rosca Inversa Polia Barra,bíceps,Cabo/Polia,normal,46e562a9-783c-4654-a303-bbecf3b638b9
177,177-rosca-unilateral-cross-polia-alta.mp4,Rosca Unilateral Cross Polia Alta,bíceps,Cabo/Polia,normal,ea97c500-172b-4db2-a438-507f8b4a1b86
