codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,video_referencia,como_executar
248,248-ativacao-gluteos-parede-miniband.mp4,Ativação Glúteos Parede Miniband,Quadríceps,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/eiysixe89yu_opt.mp4,Importado do MFIT (page-1). Categoria MFIT: Musculação.
249,249-band-pull-apart.mp4,Band pull-apart,Ativação,Elástico/Band,normal,https://youtu.be/MFyWx1-0ePI,
250,250-band-walk-frontal.mp4,Band walk frontal,Funcional,Elástico/Band,normal,https://youtu.be/8RSu-PLNac4,Importado do MFIT (page-1).
251,251-bird-dog-com-mini-band.mp4,Bird dog com mini band,Core,Elástico/Band,normal,https://youtu.be/PZcET_feXpA,
252,252-caminhada-lateral-com-mini-band.mp4,Caminhada lateral com mini band,Ativação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/6facqg9wzwx_opt.mp4,Importado do MFIT (page-1). Categoria MFIT: Musculação.
253,253-coice-de-gluteo-kickback-com-banda.mp4,Coice de glúteo (kickback) com banda,Ativação,Elástico/Band,normal,https://youtu.be/2EnaDqghMVY,
254,254-dead-bug-com-mini-band.mp4,Dead bug com mini band,Core,Elástico/Band,normal,https://youtu.be/iW_CtYtzbeU,
255,255-elevacao-de-quadril-solo-abducao-no-pico-de-contracao-com-mi.mp4,Elevação de Quadril Solo + Abdução no Pico de Contração com Miniband,glúteo,Elástico/Band,normal,https://youtu.be/TXM4PXqam84,
256,256-elevacao-de-quadril-solo-com-miniband.mp4,Elevação de Quadril Solo com Miniband,glúteo,Elástico/Band,normal,https://youtu.be/JoQ9U9QBHh4,
257,257-extensao-de-quadril-com-miniband.mp4,Extensão de Quadril com Miniband,glúteo,Elástico/Band,normal,https://youtu.be/OzaxW8_K2is,
258,258-extensao-de-quadril-em-diagonal-miniband.mp4,Extensão de Quadril em Diagonal Miniband,glúteo,Elástico/Band,normal,https://youtu.be/6fQwWnHMAoI,
259,259-face-pull-com-banda.mp4,Face pull com banda,Ativação,Elástico/Band,normal,https://youtu.be/IndIttUTNMU,
260,260-fire-hydrant-com-banda.mp4,Fire hydrant com banda,Ativação,Elástico/Band,normal,https://youtu.be/BLx5wSzafxg,
261,261-fisio-joelho-extensao-terminal-de-joelho-tke-com-banda.mp4,Fisio Joelho: extensão terminal de joelho (TKE) com banda,Fisioterapia,Elástico/Band,normal,https://youtu.be/CU7Fn11YMTw,
262,262-fisio-joelho-spanish-squat-isometrico-banda.mp4,Fisio Joelho: Spanish squat isométrico (banda),Fisioterapia,Elástico/Band,normal,https://youtu.be/mik90mAS6fU,
263,263-fisio-ombro-rotacao-externa-com-banda.mp4,Fisio Ombro: rotação externa com banda,Fisioterapia,Elástico/Band,normal,https://youtu.be/INKWa8D0Gp4,
264,264-fisio-ombro-rotacao-interna-com-banda.mp4,Fisio Ombro: rotação interna com banda,Fisioterapia,Elástico/Band,normal,https://youtu.be/gcUjz4YMPbU,
265,265-fisio-punho-extensao-de-dedos-com-elastico.mp4,Fisio Punho: extensão de dedos com elástico,Fisioterapia,Elástico/Band,normal,https://youtu.be/975XRjP9pak,
266,266-fisio-tendao-patelar-isometrico-spanish-squat-45s.mp4,Fisio Tendão patelar: isométrico Spanish squat (45s),Fisioterapia,Elástico/Band,normal,https://youtu.be/mik90mAS6fU,
267,267-fisio-tornozelo-dorsiflexao-com-banda.mp4,Fisio Tornozelo: dorsiflexão com banda,Fisioterapia,Elástico/Band,normal,https://youtu.be/Qgrju9-DT6U,
268,268-fisio-tornozelo-inversao-eversao-com-banda.mp4,Fisio Tornozelo: inversão/eversão com banda,Fisioterapia,Elástico/Band,normal,https://youtu.be/NwjyAhHKFN4,
269,269-flexao-de-quadril-alternada-mini-band-em-iso-isquiotibiais-g.mp4,Flexão de quadril alternada mini band em ISO isquiotibiais/gluteo,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/hgqptdec92_opt.mp4,Importado do MFIT (page-1).
270,270-gluteo-rot-ext-mini-band.mp4,Gluteo - rot ext - mini band,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/d7qvsphvmpb_opt.mp4,Importado do MFIT (page-1).
271,271-gluteo-concha-com-miniband.mp4,Glúteo Concha com Miniband,glúteo,Elástico/Band,normal,https://youtu.be/MWyxlJU1uX4,
272,272-mobilidade-de-ombro-com-bastao-elastico.mp4,Mobilidade de Ombro com Bastão/Elástico,mobilidade,Elástico/Band,normal,https://youtu.be/j1I0g5_ucuI,
273,273-monster-walk-caminhada-do-monstro.mp4,Monster walk (caminhada do monstro),Ativação,Elástico/Band,normal,https://youtu.be/1DCjhDQrUhU,
274,274-nordico-com-elastico.mp4,Nórdico com Elástico,posterior de coxa,Elástico/Band,normal,https://youtu.be/MCbZDJy6g7Q,
275,275-pallof-press-com-banda.mp4,Pallof press com banda,Core,Elástico/Band,normal,https://youtu.be/HXrLaqNIkTs,
276,276-passada-lateral-com-miniband.mp4,Passada Lateral com Miniband,glúteo,Elástico/Band,normal,https://youtu.be/GI7NcRpviLY,
277,277-ponte-de-gluteo-com-mini-band.mp4,Ponte de glúteo com mini band,Ativação,Elástico/Band,normal,https://youtu.be/0ZTNZ4lYs0I,
278,278-prancha-lateral-com-rotacao-externa-elastico.mp4,Prancha Lateral com Rotação Externa Elastico,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/d4rf8xj6ama_opt.mp4,Importado do MFIT (page-2).
279,279-prancha-lateral-em-abducao-com-mini-band-crucifixo-unilatera.mp4,Prancha Lateral em Abdução com Mini band + Crucifixo Unilateral,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/ql2msfd9n4l_opt.mp4,Importado do MFIT (page-2).
280,280-propulsao-diagonal-com-mini-band.mp4,Propulsão Diagonal com mini band,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/1pfvxpvhg7q_opt.mp4,Importado do MFIT (page-2).
281,281-rdl-unilateral-com-miniband.mp4,RDL Unilateral com Miniband,posterior de coxa,Elástico/Band,normal,https://youtu.be/M59l7eFZ0S4,
282,282-remada-sentada-com-mini-band.mp4,Remada sentada com mini band,Dorsal,Elástico/Band,normal,https://youtu.be/0FTWxdrc2BE,Importado do MFIT (page-2). Categoria MFIT: Em casa.
283,283-rotacao-externa-de-ombro-com-banda.mp4,Rotação externa de ombro com banda,Ativação,Elástico/Band,normal,https://youtu.be/rWMNJI01m_Y,
284,284-salto-horizontal-com-banda-banded-broad-jump.mp4,Salto horizontal com banda (banded broad jump),Performance,Elástico/Band,normal,https://youtu.be/1IXmm0uhREE,
285,285-salto-s-contramovimento-mini-band.mp4,Salto s/ contramovimento + mini band,Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/z0rpvg8wcyl_opt.mp4,Importado do MFIT (page-2).
286,286-stiff-uni-elastico-ativacao-pe.mp4,Stiff Uni + elástico ( ativação pé ),Musculação,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/7yuj6tcsmr_opt.mp4,Importado do MFIT (page-2).
287,287-terra-deadlift-com-kb-super-band.mp4,Terra / Deadlift com KB + Super Band,Quadríceps,Elástico/Band,normal,https://d2vfutiy2j6sqj.cloudfront.net/115171/mp4/ogwueiqhauk_opt.mp4,Importado do MFIT (page-2). Categoria MFIT: Musculação.
288,288-wall-drive-com-banda-no-quadril.mp4,Wall drive com banda no quadril,Performance,Elástico/Band,normal,https://youtu.be/u_lE_VMnYfU,
289,289-wall-sprint-march-com-banda.mp4,Wall sprint march com banda,Performance,Elástico/Band,normal,https://youtu.be/yC3Vpiv9InY,
387,387-4-exercicios-da-fisio.mp4,4 exercícios da fisio,Mobilidade,Livre/Funcional,ALTA,https://youtu.be/M8NrjFZLHW4,Importado do MFIT (page-1). Categoria MFIT: Fisio.
388,388-abducao-de-quadril-no-banco-com-caneleira.mp4,Abdução de Quadril no Banco com Caneleira,glúteo,Livre/Funcional,ALTA,https://youtu.be/UtVUKHuB3Ns,
389,389-agachamento-bulgaro-com-step.mp4,Agachamento Búlgaro com Step,quadríceps,Livre/Funcional,ALTA,https://youtu.be/v-bItsW7fUI,
390,390-agachamento-bulgaro-inclinado.mp4,Agachamento Búlgaro Inclinado,quadríceps,Livre/Funcional,ALTA,https://youtu.be/v-bItsW7fUI,
391,391-agachamento-livre.mp4,Agachamento Livre,quadríceps,Livre/Funcional,ALTA,https://youtu.be/iGLzCCZr_Xw,
392,392-agachamento-sumo-landmine.mp4,Agachamento Sumô Landmine,quadríceps,Livre/Funcional,ALTA,https://youtu.be/3UADf4q4-2s,
393,393-balaco-de-panturrilha-e-tibial.mp4,Balaço de panturrilha e tíbial,Quadríceps,Livre/Funcional,ALTA,https://youtu.be/4yMbzsUQuVI,Importado do MFIT (page-1). Categoria MFIT: Funcional.
394,394-biset-cross-over-supino-banco-90.mp4,Biset Cross Over + Supino Banco 90,peitoral,Livre/Funcional,ALTA,https://youtu.be/S7gPqiPc5-g,
395,395-cadeira-flexora-com-flexao-de-quadril-unilateral.mp4,Cadeira Flexora com Flexão de Quadril Unilateral,posterior de coxa,Livre/Funcional,ALTA,https://youtu.be/bdXGI3t7nFM,
396,396-cardio.mp4,Cardio,cardio,Livre/Funcional,ALTA,https://youtu.be/nYIAyjBrkNY,
397,397-corrida.mp4,Corrida,cardio,Livre/Funcional,ALTA,https://youtu.be/6Lrn-WRU26M,
398,398-cross-over-medial.mp4,Cross Over Medial,peitoral,Livre/Funcional,ALTA,https://youtu.be/nuTuKjcQRHg,
399,399-cross-over-medial-banco-90.mp4,Cross Over Medial Banco 90,peitoral,Livre/Funcional,ALTA,https://youtu.be/pdMWt71MPlw,
400,400-cross-over-supinado.mp4,Cross Over Supinado,peitoral,Livre/Funcional,ALTA,https://youtu.be/pdMWt71MPlw,
